Solar Eclipses: 1901 - 2025,,,,,,,,
Calendar Date,TD of Greatest Eclipse,Eclipse Type,Saros Series,Eclipse Magnitude,Central Duration,Geographic Region of Eclipse Visibility,,
1923 Sep 10,20:47:30,Total,143,1.043,03m37s,"N America, C America, Carribean, ne S America, e Asia
[Total: U.S., Mexico, Belize]",,
1924 Mar 05,15:44:21,Partial,148,0.582,-,"Antarctica, South Africa, Nambia, Botswana",,
1924 Jul 31,19:58:21,Partial,115,0.192,-,S Pacific,,
1924 Aug 30,8:23:01,Partial,153,0.424,-,"Northeast Asia, Greenland, Northern Canada",,
1925 Jan 24,14:54:03,Total,120,1.03,02m32s,"e America's, nw Africa, w Europe
[Total: U.S., Northern Atlantic]",,
1925 Jul 20,21:48:42,Annular,125,0.944,07m15s,"Australia, New Zealand, New Guinea
[Annular: South Pacific]",,
1926 Jan 14,6:36:58,Total,130,1.043,04m11s,"e Africa, s Asia, Indies, n Australia
[Total: C.A.R., Zaire, Uganda, Kenya, Indonesia, Malaysia, Philippines]",,
1926 Jul 09,23:06:02,Annular,135,0.968,03m51s,"e Asia, ne Australia, w N America
[Annular: central Pacific]",,
1927 Jan 03,20:22:54,Annular,140,0.999,00m03s,"Antarctica, N.Z., sw S America
[Annular: New Zealand, Chile, Argentine, Uruguay, Brazil]",,
1927 Jun 29,6:23:27,Total,145,1.013,00m50s,"n Asia, Europe, n Africa, n N America
[Total: U.K., Norway, Sweden, Finland, Russia]",,
1927 Dec 24,3:59:42,Partial,150,0.549,-,Antarctica,,
1928 May 19,13:24:20,Total,117,1.014,-,"Antarctica, s S America, s Africa
[Total: South Atlantic]",,
1928 Jun 17,20:27:28,Partial,155,0.038,-,Russia,,
1928 Nov 12,9:48:25,Partial,122,0.808,-,"ne Africa, e Europe, Middle East, w Asia",,
1929 May 09,6:10:35,Total,127,1.056,05m07s,"e Africa, se Asia, Indies, Australia
[Total: Indonesia, Malaysia, Thailand, Vietnam, Philippines]",,
1929 Nov 01,12:05:10,Annular,132,0.965,03m54s,"Africa, Europe, Middle East
[Annular: W Sahara, Mauritania, Mali, Ghana, Togo, Gabon, Congo, Zaire, Tanzania]",,
1930 Apr 28,19:03:34,Hybrid,137,1,00m01s,"N America, ne Asia
[Hybrid: U.S., Canada]",,
1930 Oct 21,21:43:54,Total,142,1.023,01m55s,"Australia, New Guinea, New Zealand
[Total: South Pacific]",,
1911 Apr 28,22:27:22,Total,127,1.056,04m57s,"e Australia, N.Z., w N America
[Total: central Pacific]",,
1911 Oct 22,4:13:03,Annular,132,0.965,03m47s,"Asia, Indies, Australia
[Annular: Russia, China, Philippines, Indonesia, New Guinea]",,
1912 Apr 17,11:34:22,Hybrid,137,1,00m02s,"e America's, nw Africa, Europe, Middle East
[Hybrid: Guyana, Suriname, w Europe, Russia]",,
1912 Oct 10,13:36:14,Total,142,1.023,01m55s,"S America, C America, Antarctica, s Africa
[Total: Colombia, Brazil, Ecuador, s Atlantic]",,
1913 Apr 06,17:33:08,Partial,147,0.424,-,"Northwest U.S., Western Canada, Russia",,
1913 Aug 31,20:52:12,Partial,114,0.151,-,"Northeast Canada, Greenland",,
1913 Sep 30,4:45:49,Partial,152,0.825,-,"Antarctica, Madgascar, se Africa",,
1914 Feb 25,0:13:02,Annular,119,0.925,05m35s,"Antarctica, New Zealand
[Annular: Antarctica]",,
1914 Aug 21,12:34:28,Total,124,1.033,02m14s,"n Africa, Europe, w Asia, ne N America
[Total: Canada, Greenland, Norway, Sweden, Russia, Turkey, Iraq, Iran, Pakistan, India]",,
1915 Feb 14,4:33:21,Annular,129,0.979,02m04s,"Indies, Australia, Antarctica
[Annular: Australia, Indonesia, New Guinea]",,
1915 Aug 10,22:52:25,Annular,134,0.985,01m33s,"Northeast Asia, central Pacific, New Guinea
[Annular: central Pacific]",,
1916 Feb 03,16:00:22,Total,139,1.028,02m36s,"N America, n S America, nw Africa
[Total: Colombia, Venezuela, central Atlantic]",,
1916 Jul 30,2:06:11,Annular,144,0.945,06m24s,"Indies, Australia, N.Z., Antarctica
[Annular: Australia, Tasmania]",,
1916 Dec 24,20:46:22,Partial,111,0.011,-,Antarctica,,
1917 Jan 23,7:28:31,Partial,149,0.725,-,"ne Africa, Middle East, w Asia, e Europe",,
1917 Jun 19,13:16:21,Partial,116,0.473,-,"n N America, n Asia, n Europe",,
1917 Jul 19,2:42:42,Partial,154,0.086,-,Antarctica,,
1917 Dec 14,9:27:20,Annular,121,0.979,01m17s,"Antarctica, se S America, w Australia
[Annular: Antarctica]",,
1918 Jun 08,22:07:44,Total,126,1.029,02m23s,"ne Asia, N America, n Europe, C America
[Total: central Pacific, U.S.]",,
1918 Dec 03,15:22:02,Annular,131,0.938,07m06s,"S America, Antarctica, w Africa, C America
[Annular: Chile, Argentina, Uruguay, Nambia, Angola]",,
1919 May 29,13:08:55,Total,136,1.072,06m51s,"S America, C America, Africa
[Total: Chile, Peru, Bolivia, Brazil, central Africa]",,
1919 Nov 22,15:14:12,Annular,141,0.92,11m37s,"America's, w Africa, w Europe
[Annular: U.S., Cuba, Haiti, Guinea, Senegal, Mauritania, Gambia, Mali]",,
1920 May 18,6:14:56,Partial,146,0.973,-,"Australia, Antarctica, s Indian Ocean",,
1920 Nov 10,15:52:15,Partial,151,0.742,-,"ne N America, nw Africa, w Europe",,
1901 May 18,5:33:48,Total,136,1.068,06m29s,"s Asia, Australia, e Africa
[Total: Indonesia, N Guinea, Madagascar]",,
1901 Nov 11,7:28:22,Annular,141,0.922,11m01s,"ne Africa, Asia, w Europe
[Annular: ne Africa, India, Sri Lanka, se Asia]",,
1902 Apr 08,14:05:06,Partial,108,0.064,-,northern Canada,,
1902 May 07,22:34:16,Partial,146,0.859,-,"New Zealand, South Pacific",,
1902 Oct 31,8:00:18,Partial,151,0.696,-,"c Asia, e Europe",,
1903 Mar 29,1:35:23,Annular,118,0.977,01m53s,"e Asia, nw N America
[Annular: China, Mongolia, Russia, Canada]",,
1903 Sep 21,4:39:52,Total,123,1.032,02m12s,"se Africa, Antarctica, s Australia, N.Z.
[Total: Antarctica, s Indian Ocean]",,
1904 Mar 17,5:40:45,Annular,128,0.937,08m07s,"e Africa, s Asia
[Annular: Tanzania, Mozambique, Cambodia, Laos, Vietnam, Myanmar]",,
1904 Sep 09,20:44:21,Total,133,1.071,06m20s,"Atlantic, nw S America
[Total: central Atlantic, Chile]",,
1905 Mar 06,5:12:27,Annular,138,0.927,07m58s,"Australia, Antarctica, s Indies
[Annular: Australia]",,
1905 Aug 30,13:07:26,Total,143,1.048,03m46s,"ne N America, n Africa, Europe, w Asia
[Total: Canada, Spain, Algeria, Tunisia, Libya, Egypt, Saudi Arabia]",,
1906 Feb 23,7:43:21,Partial,148,0.539,-,"Antarctica, Australia",,
1906 Jul 21,13:14:20,Partial,115,0.336,-,s S America,,
1906 Aug 20,1:12:50,Partial,153,0.315,-,"n Asia, n N America",,
1907 Jan 14,6:05:43,Total,120,1.028,02m25s,"c Asia, ne Africa
[Total: Russia, central Asia]",,
1907 Jul 10,15:24:33,Annular,125,0.946,07m23s,"S America, C America, Antarctica
[Annular: Chile, Bolivia, Brazil]",,
1908 Jan 03,21:45:22,Total,130,1.044,04m14s,"ne Australia, w N America, nw S America
[Total: Atlantic, Costa Rica]",,
1908 Jun 28,16:29:51,Annular,135,0.965,04m00s,"America's, w Africa, w Europe
[Annular: Mexico, U.S., Mauritania, Senegal, Mali, Burkina Faso]",,
1908 Dec 23,11:44:28,Hybrid,140,1.002,00m12s,"S America, Antarctica, s Africa
[Hybrid: Chile, Argentina, Uruguay, s Atlantic]",,
1909 Jun 17,23:18:38,Hybrid,145,1.006,00m24s,"ne Asia, n N America
[Hybrid: Russia, Canada, Greenland]",,
1909 Dec 12,19:44:48,Partial,150,0.542,-,"Antarctica, New Zealand",,
1910 May 09,5:42:13,Total,117,1.06,04m15s,"Antarctica, Australia, s Indies
[Total: Antarctica, Tasmania]",,
1910 Nov 02,2:08:32,Partial,122,0.852,-,"Northeast Asia, Northern Pacific",,
